__quarterly__,y,*,y_tnd,*,diff_y_tnd,*,y_gap,*,Y,*,diff_cpi,*,diff4_cpi,*,E_diff_cpi,*,rs,*,rrs_gap,*,rrs,*,cpi,*,obs_y,*,obs_diff_y,*,obs_Y,*,obs_y_gap,*,obs_y_gap4,*,obs_rs,*,obs_cpi,*,obs_diff_cpi,*,shk_y_tnd,*,shk_y_gap,*,shk_diff_cpi,*,shk_rs,*,shk_E_diff_cpi,*,ant_shk_y_gap,*,ant_shk_diff_cpi,*,ant_shk_rs,*,
2000-Q1,946.771157645587,946.771157645587,945.386342692551,945.386342692551,,,1.384814953036,1.384814953036,,,2.495046365866,2.495046365866,2.133007910208,2.133007910208,,,5.52,5.52,,,,,517.558460116574,517.558460116574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-Q2,948.575366479825,948.575366479825,946.199906228491,946.199906228491,,,2.375460251334,2.375460251334,,,2.554478929857,2.554478929857,2.310708831752,2.310708831752,,,5.713333333,5.713333333,,,,,518.197079849038,518.197079849038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-Q3,948.675090866784,948.675090866784,946.985239301744,946.985239301744,,,1.689851565041,1.689851565041,,,2.835832848281,2.835832848281,2.541791738965,2.541791738965,,,6.016666667,6.016666667,,,,,518.906038061109,518.906038061109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-Q4,949.26769326032,949.26769326032,947.74433091667,947.74433091667,,,1.523362343649,1.523362343649,,,2.224699839274,2.224699839274,2.52751449582,2.52751449582,,,6.016666667,6.016666667,,,,,519.462213020927,519.462213020927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-Q1,948.94294552197,948.94294552197,948.48022623486,948.48022623486,,,0.46271928711,0.46271928711,,,3.167312304631,3.167312304631,2.695580980511,2.695580980511,,,4.816666667,4.816666667,,,,,520.254041097085,520.254041097085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-Q2,949.562412074752,949.562412074752,949.196922519366,949.196922519366,,,0.365489555386,0.365489555386,,,2.559657770388,2.559657770388,2.696875690644,2.696875690644,,,3.66,3.66,,,,,520.893955539682,520.893955539682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-Q3,949.161259516663,949.161259516663,949.898706232798,949.898706232798,,,-0.737446716135,-0.737446716135,,,2.833027369755,2.833027369755,2.696174321012,2.696174321012,,,3.17,3.17,,,,,521.602212382121,521.602212382121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-Q4,949.438190068296,949.438190068296,950.590092268738,950.590092268738,,,-1.151902200441,-1.151902200441,,,2.52548875361,2.52548875361,2.771371549596,2.771371549596,,,1.906666667,1.906666667,,,,,522.233584570523,522.233584570523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-Q1,950.263006303116,950.263006303116,951.275134616567,951.275134616567,,,-1.01212831345,-1.01212831345,,,2.080535441146,2.080535441146,2.499677333725,2.499677333725,,,1.72,1.72,,,,,522.75371843081,522.75371843081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-Q2,950.876622279462,950.876622279462,951.957167326794,951.957167326794,,,-1.080545047332,-1.080545047332,,,1.856151894157,1.856151894157,2.323800864667,2.323800864667,,,1.713333333,1.713333333,,,,,523.217756404349,523.217756404349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
