__quarterly__,y,cpi,ad_y,ad_cpi,rs,
1934-Q1,,,,,0.526666667,
1934-Q2,,,,,0.153333333,
1934-Q3,,,,,0.183333333,
1934-Q4,,,,,0.25,
1935-Q1,,,,,0.18,
1935-Q2,,,,,0.15,
1935-Q3,,,,,0.17,
1935-Q4,,,,,0.17,
1936-Q1,,,,,0.2,
1936-Q2,,,,,0.2,
1936-Q3,,,,,0.17,
1936-Q4,,,,,0.12,
1937-Q1,,,,,0.233333333,
1937-Q2,,,,,0.443333333,
1937-Q3,,,,,0.293333333,
1937-Q4,,,,,0.133333333,
1938-Q1,,,,,0.086666667,
1938-Q2,,,,,0.063333333,
1938-Q3,,,,,0.07,
1938-Q4,,,,,0.04,
1939-Q1,,,,,0.03,
1939-Q2,,,,,0.03,
1939-Q3,,,,,0.076666667,
1939-Q4,,,,,0.046666667,
1940-Q1,,,,,0.016666667,
1940-Q2,,,,,0.06,
1940-Q3,,,,,0.046666667,
1940-Q4,,,,,0.02,
1941-Q1,,,,,0.056666667,
1941-Q2,,,,,0.11,
1941-Q3,,,,,0.116666667,
1941-Q4,,,,,0.233333333,
1942-Q1,,,,,0.256666667,
1942-Q2,,,,,0.353333333,
1942-Q3,,,,,0.38,
1942-Q4,,,,,0.38,
1943-Q1,,,,,0.38,
1943-Q2,,,,,0.38,
1943-Q3,,,,,0.38,
1943-Q4,,,,,0.38,
1944-Q1,,,,,0.38,
1944-Q2,,,,,0.38,
1944-Q3,,,,,0.38,
1944-Q4,,,,,0.38,
1945-Q1,,,,,0.38,
1945-Q2,,,,,0.38,
1945-Q3,,,,,0.38,
1945-Q4,,,,,0.38,
1946-Q1,,,,,0.38,
1946-Q2,,,,,0.38,
1946-Q3,,,,,0.38,
1946-Q4,,,,,0.38,
1947-Q1,761.798079107683,,,,0.38,
1947-Q2,761.53101682428,,-1.068249133614,,0.38,
1947-Q3,761.324300087184,,-0.826866948384,,0.736666667,
1947-Q4,762.876467776746,,6.208670758248,,0.906666667,
1948-Q1,764.369467190788,,5.971997656168,,0.99,
1948-Q2,766.00667214342,,6.548819810528,,1.0,
1948-Q3,766.577967331682,,2.285180753051,,1.05,
